Batch,Time,Stirrer,Kla,pH,DO,CER,OUR,RQ,Feed,Acid,Base,Glu,MSG,DCW,TL,DHA
1,1,300,11.28,5.08298,97.56534,2.02,2.04,0.99,0,0,0,49.88,,,,
1,2,300,14.51,5.01066,90.32852,2.8,2.83,0.99,0,0,0,49.33,,,,
1,3,300,16.45,5.03801,82.16387,3.77,3.81,0.99,0,0,0,48.71,,,,
1,4,300,19.69,5.00649,74.67664,4.98,4.88,1.02,0,0,1.75,47.98,,,,
1,5,300,23.64,4.99266,66.98653,6.68,6.49,1.03,0,0,2.11,47.22,,,,
1,6,300,27.48,5.00003,60.73409,8.73,8.31,1.05,0,0,2.11,46.31,15.57,,,
1,7,300,30.99,5.05145,51.50094,9.01,8.58,1.05,0,0,2.42,45.24,,,,
1,8,300,35.25,5.08674,46.60816,9.16,8.56,1.07,0,0,2.42,44.06,,,,
1,9,300,37.45,5.09728,36.57005,9.5,8.64,1.1,0,0,2.42,42.7,,,,
1,10,300,39.15,5.08598,27.45319,9.58,8.63,1.11,0,0.93,2.73,41.25,,,,
1,11,300,37.29,5.06144,17.039,9.32,8.63,1.08,0,0.93,10.42,39.64,,,,
1,12,300,35.03,5.07862,11.39499,9.23,8.71,1.06,0,0.93,17.12,37.95,13.93,16.19,4.41,2.27
1,13,300,36.49,5.0378,7.82026,9.1,8.92,1.02,3.8,0.93,21.61,37.2,,,,
1,14,300,38.52,5.0949,5.50074,8.79,8.97,0.98,7.6,0.93,25.32,36.3,,,,
1,15,300,37.7,5.0956,4.64837,8.67,9.03,0.96,11.44,0.93,28.44,35.33,,,,
1,16,300,40.58,5.09179,2.51265,8.58,9.13,0.94,15.27,1.03,32.94,34.24,,,,
1,17,300,45.53,4.9677,1.07263,8.8,9.17,0.96,19.06,1.92,42.93,33.14,,,,
1,18,300,49.51,4.9742,1.60268,8.61,9.26,0.93,22.85,1.92,49.32,31.97,11.64,,,
1,19,300,46.64,5.00425,1.78283,8.48,9.32,0.91,26.64,1.92,56.44,30.76,,,,
1,20,300,45.7,5.00858,1.59258,8.49,9.43,0.9,30.42,1.92,59.12,29.49,,,,
1,21,300,46.77,5.00369,1.32037,8.34,9.48,0.88,34.21,3.92,60.35,28.15,,,,
1,22,300,48.59,4.99406,0.68908,8.19,9.52,0.86,38.05,5.11,61.35,26.68,,,,
